gene	cc01-20covid1	cc01-20covid2	cc03-19covid	cc03-20covid1	cc03-20covid2	cc01-20mock1	cc01-20mock2	cc03-19mock1	cc03-20mock1	cc03-20mock2
HEATR5B	5.72	6.21	6.01	7.08	8.3	8.57	8.44	6.06	10.76	11.99
SEC62	126.97	127.31	105.11	98.87	92.08	147.38	129.2	104.77	107.94	109.2
RPS20	360.74	368.97	275.18	256.75	253.29	425.15	398.86	371.71	413.83	387.2
CSDE1	346.86	327.08	378.87	394.41	408.59	348	274.15	402.37	497.17	464.89
UBE3C	43.65	38.78	31.16	53.82	56.33	24.63	19.24	48.3	35.82	33.58
REV3L	12.38	13.78	11	7.47	5.82	18.88	16.87	15.35	21.82	27.85
TENM1	0	0	0	0	0	0	0	0	0	0
PAX7	0	0	0.1	0	0	0.05	0.08	0.06	0.42	0.23
MASP2	0.1	0.01	0.06	0	0	0.09	0.12	0.03	0	0.02
IYD	2.22	3.36	0.99	0.79	1.4	2.67	2.42	1.36	3.12	0.58
FAM76A	7.41	6.52	5.8	6.18	7.94	6.26	6.87	4.18	5.48	7.56
TRAF3IP3	0.03	0.32	0.08	0.43	0.25	0.04	0.01	0.21	0.09	0.08
POMT2	55.46	50.15	27.28	48.96	46.08	10.03	9.34	23.02	16.91	20.09
VTA1	88.55	81.19	73.52	105.83	111.33	51.39	56.19	90.47	110.41	112.09
MLXIPL	2.46	3.31	2.12	0.09	0.02	15.55	13	0.4	0.33	0.24
BAZ1B	13.91	12.91	11.22	11.55	12.41	14.62	11.98	12.16	14.02	13.3
RANBP9	15.66	15.45	26.05	21.26	21.12	17.95	20.71	18.86	26.88	28.27
ETV7	17.2	19.79	20.8	15.2	12.06	10.45	7.84	1.98	12.52	11.65
SPRTN	12.78	13.14	11.66	10.85	15.47	5.41	8.72	12	15.98	17.55
EEF1AKNMT	34.43	36.35	22.31	25.69	32.63	15.27	20.4	28.39	22.95	23.16
DYRK4	26.38	25.76	20.04	22.24	22.13	38.4	30.75	29.2	27.44	28.27
ZNF207	139.62	136	186.43	146.6	138.77	129.76	129.07	115.87	137.93	134.89
UQCRC1	433.65	401.98	304.83	481.23	490.8	260.43	258.88	526.85	543.73	548.18
STARD3NL	86.73	86.59	48.3	52.93	49.27	57.34	48.54	55.93	31.49	29.71
CD9	1603.84	1451.81	1027.71	1545.44	1627.41	858.44	1370.86	1149.88	2586.7	2464.27
HHATL	0	0.09	0	0	0	0.27	0.25	0.27	0	0.05
NCAPD2	21.61	22	20.56	21.54	19.25	23.11	18.49	21.94	35.6	30.7
IFFO1	0.9	0.89	3.21	0.65	0.35	2.69	5.56	9.07	2.98	4.52
GIPR	2.19	3.67	4.92	1.18	1.34	7.67	6.67	1.43	3.08	3.73
PHF7	5	4.97	3.89	4.05	3.76	13.92	8.49	4.88	16.84	21.64
SEMA3G	0	0.04	0.09	0	0.03	0.1	0.15	0.01	0.13	0.41
NISCH	20.34	20.22	24.18	20.57	22.75	36.55	32.88	24.98	43	43.35
STAB1	0.63	0.06	0.11	0.28	0.42	0.16	0.36	0.06	0.15	0.08
FUZ	15.03	13.64	12.17	6.06	6.44	15.77	17.86	5.55	26.5	24.83
SLC6A13	0.14	0.13	0.1	0.17	0	0.33	0.6	0.04	0	0.02
IDS	133.64	119.52	110.04	97.13	103.61	73.08	65.94	69.98	48.95	48.03
PRSS3	44.86	35.52	36.37	43.13	50.12	7.61	54.03	95.05	16	19.74
ZNF200	10.42	8.51	8.47	10.2	11.73	6.34	7.44	7.58	10.67	13.09
CD4	1.2	0.8	1.96	0.76	0.88	4.47	5.98	9.83	6.25	5.73
LRRC23	11.5	11.98	6.35	9.12	7.52	24.78	17.96	5.08	43.05	42.85
BTK	0	0.24	0.02	0	0	0	0	0	0.36	0.37
HFE	15.73	13.3	9.69	8.33	7.41	13.64	11.12	11.67	12.76	15.56
SCMH1	18.51	22.78	12.1	8.32	8.78	24.08	19.97	19.53	17.72	24.35
FYN	6.69	7.11	9.56	6.4	6.75	12	9.84	21.18	8.69	12.01
HIVEP2	1.75	1.68	3.94	2.38	2.31	2.48	1.6	1.23	2.08	2.78
FMO1	0	0	0.02	0	0.09	0	0.09	0	0.44	0.66
ELOA	66.6	66.06	53.9	59.62	56.02	38.18	38.42	56.02	48.83	49.4
LYPLA2	169.11	151.79	131.13	187.29	176.8	68.8	72.51	165.46	123.5	124.27
CLCN6	12.97	10.67	14.22	8.26	7.89	14.05	12.79	8.87	4.74	8.64
MRC2	7.67	6.74	10.71	10.63	13	34.9	26.06	34.51	9.4	13.97
NME1-NME2	132.06	134.32	59.5	123.95	103.32	55.13	45.85	162.21	69.07	71.69
SLC6A7	0.01	0	0.1	0	0	0.08	0	0.12	0	0
TSPAN9	7.91	8.89	7.66	7.46	5.57	7.32	7.36	7.48	8.33	6.32
BTBD7	10.25	10.46	11.08	14.01	12.29	10.58	9.61	13.08	14.9	14.42
APBA3	21.13	20.23	27.32	18.5	19.34	23.79	19.09	14.89	22.39	19.44
MKS1	16.87	19.12	14.02	11.04	12.58	21.3	28.59	12.06	30.64	36.69
ABHD5	41.29	41.93	63.69	46.52	51.99	27.21	36.54	33.99	30.98	27.4
ANOS1	3.6	2.83	1.74	3.54	3.77	3.49	2.04	1.11	5.19	3.12
AKAP8L	85.75	91.42	197.13	81.77	100.28	158.55	159.4	79.45	125.17	150.41
MBTD1	1.6	1.92	3.84	2.56	1.59	4.6	5.75	1.59	5.93	8.05
UTP18	48.39	46.54	35.24	35.6	38.21	30.14	29.58	47.34	42.63	43.11
RNF216	13.42	15.7	15.3	15.76	15.33	15.51	13.84	16.23	15.51	18.75
TTC19	66.9	65.49	48.45	73.92	68.68	77.65	61.65	56.92	80.41	76.22
PTBP1	157.68	145.64	164.67	165.75	183.96	96.15	86.99	173.81	143.72	138.49
DPF1	0.26	0.29	0.2	1.43	1	0.25	0.42	1.19	0.5	0.5
SYT7	1.4	0.88	2.27	3.37	1.8	4.35	2.49	1.15	4.06	4.7
LARS2	18.34	20.5	10.85	13.9	15	7.8	6.77	17.05	15.38	13.07
PIK3C2A	12.92	13.69	9.22	10.86	10.7	18.11	18.09	12.15	12.91	11.63
PLAUR	136.62	128.1	149.84	362.27	320.32	45	31.91	61.69	21.04	21.36
ANLN	39.98	41.85	27.32	37.88	44.23	16.81	7.13	56.84	38.83	41.05
WIZ	8.35	7.99	6.63	9.41	10.22	4.99	4.85	9.04	10.01	9.65
RABGAP1	29.73	34.75	36.8	27.57	32.17	33.28	31.64	26.26	54.87	55.27
DCN	4.99	5.24	68.93	2.97	1.89	78.15	69.79	63.87	55.41	64.63
QPCTL	4.61	4.94	4.59	2.44	3.89	5.85	4.68	5.22	5.52	4.55
PPP5C	56.16	58.85	39.44	46.23	50.84	37.64	30.33	50.45	56.63	55.65
CEP68	5.66	5.62	7.45	4.97	7.26	13.07	11.61	7.18	24.12	21.49
MAP4K3	32.82	28.51	40.24	19.02	19.85	26.96	18.63	34.46	20.63	21.93
ZBTB32	0.02	0.14	0.12	0.07	0	0.02	0	0	0.08	0.03
TYROBP	0	0	0	0	0	0.33	0	0	0	0
TMEM159	30.43	26.16	43.34	50.56	49.82	46.37	51.2	46.32	74.57	73.09
GABRA3	0	0.02	0	0	0	0	0	0	1.76	0.86
BRCA1	4.13	6.59	2.1	3.15	4.6	3.78	2.84	7.05	6.25	4.28
ERCC1	67	65.18	61.07	86.23	73.82	79.59	73.44	139.92	109.31	117.93
CD22	0.58	0	0.07	0	0	0	0	0.59	0	0
SEMA3B	20.86	20.51	50.36	9.46	11.13	33.41	28.37	10.34	12.33	16.32
MBTPS2	16.62	14.7	10.07	10.36	11.73	11.75	9.6	12.85	13.91	14.17
PRICKLE3	12.07	11.68	12.27	14.46	16.33	18.17	20.29	13.9	25.07	27.19
LTF	14.63	13.18	0.18	1.09	0.96	321.7	255.74	25.42	11.11	9.58
EXTL3	20.31	20.6	16.84	27.31	32.64	20.33	13.96	22.51	24.76	17.13
NR1H4	0	0	0.13	0	0	0.21	0	0.94	0	0
ELOVL5	118.91	112.82	56.31	101.29	104.27	44.21	38.61	86.06	54.52	48.54
ALOX5	5.35	6.06	15.06	2.22	2.32	6.25	3.62	6.2	2.81	3.27
KDM5D	0.74	0.4	9.33	12.22	12.77	2.34	2.5	4.64	21.9	20.21
CALCOCO1	63.04	64.1	141.71	53.48	54.09	119.17	122.19	57.77	108.69	111.27
UBR7	28.61	26.48	18.58	21.55	21.32	22	17.38	19.46	28.39	29.12
MAP4K5	40.4	45.54	41.9	43.07	41.85	48.39	44.1	45.67	39.84	42.09
EHD3	3.94	3.85	14.6	16.29	15.44	2.33	13.38	10.58	11.05	9.91
PSMC4	159.38	161.19	112.52	163.24	164.45	56.36	63.92	145.69	120.16	119.6
MAN2B2	19.45	16.93	15.63	18.98	21.38	16.33	12.16	26.11	19.56	16.79
SLC7A14	0	0	0	0	0	0	0	0.18	0	0
CLDN11	0.1	0.19	0.32	0.09	0.15	0.93	1.25	3.21	0.84	0.94
SLC25A39	267.09	255.27	200.83	246.27	252.49	113.24	125.27	279.44	184.43	187.49
MVP	474.61	464.16	324.56	364.79	358.48	326.32	274.11	390.94	282.36	297.47
NUB1	55.92	55.7	49.31	49.73	40.55	34.07	26.62	27.58	30.99	32.72
PGM3	65.46	59.96	47.65	66.92	57.93	59.23	41.19	61.19	32.22	33.48
RWDD2A	3.64	3.86	3.88	1.74	2.35	8.19	7.27	2.92	3.09	3.44
CLK1	21.11	22.07	43.3	14.95	15.71	97.79	84.1	13.39	49.11	60.64
POLR3B	11.35	11.6	6.49	10.44	10.1	5.99	5.95	8.61	10.43	10.4
ANGEL1	9.57	9.5	6.42	7.89	6.22	15.81	12.82	10.41	15.77	15.87
RNF14	77.02	74.21	53.01	66.91	65.77	41.22	36.67	79.19	60.48	55.01
DNASE1L1	19.72	20.68	11.95	16.26	19.68	15.29	12.15	30.15	18.01	17.22
DDX11	18.04	23.74	62.21	8.09	13.01	32.59	26.86	21.06	12.78	18.87
HEBP1	43.19	48.4	45.99	36.32	45.49	42.42	37.21	50.45	28.13	32.62
GPRC5A	921	799.53	572.36	1630.32	1588.86	141.92	137.33	360.39	82.77	84.3
MAMLD1	0.56	0.59	0.65	0.94	1.18	0.49	0.89	0.83	0.56	0.62
CD6	0.33	0.44	0.58	1.5	2.45	0.34	0.21	0.76	1.22	1.94
TACC3	19.79	18.47	12.48	15.5	17.22	4.64	6.2	21.72	18.14	18.93
UFL1	19.92	18.9	16.56	15.89	17.39	28.32	26.03	17.64	23.94	24.28
POLA2	12.99	15.43	10.88	7.98	10.21	11.18	8.63	8.83	10.67	14
ZC3H3	16.99	15.51	18.31	18.34	21.69	14.27	11.05	19.32	18.05	16.13
CAPN1	428.22	402.23	470.58	604.42	609.29	228.56	248.49	421.81	415.91	430.3
ACPP	8.63	7.65	7.28	2.01	3.59	14.53	18.61	7.33	17.1	17.5
MDH1	266.13	262.76	167.61	208.62	214.07	193.4	199.81	252.98	370.89	330.85
SLC30A9	81.49	80.86	48.67	60.51	64.36	53.01	57.2	76.33	79.64	68.05
MTMR11	7.74	9.29	17.71	14.73	12.09	30.01	26.9	7.96	15.81	12.6
COX15	38.07	37.05	24.95	18.12	18.52	30.08	31.37	32.24	37.07	35.32
CCDC88C	7.1	7.72	13.5	5.32	7.64	11.91	13.12	6.63	32.74	30.32
YAF2	10.37	11.23	9.04	11.85	8.63	11.62	8.52	10.69	7.91	7.95
ZMYND11	36.75	32.09	26.04	32.11	34.1	29.83	32.04	30.71	42.76	41.31
WAS	0	0.1	0.5	0	0.34	0.41	0	0.14	0.26	0.44
DPEP1	0.08	0	0.08	0	0	0	0	0	0.14	0.11
BID	98.49	95.75	124.07	218.7	222.97	62.01	47.82	154.81	119.82	122.18
NPC1L1	0.04	0.01	0.05	0.01	0	0.25	0.13	0.15	0.36	0.1
XYLT2	17.08	16.3	15.29	9.16	9.33	28.59	24.65	25.3	25.68	25.94
RGPD5	2.79	1.39	3.43	1.1	2	5.69	5.61	3.29	4.06	2.56
STMN4	0	0	0.04	0	0	0	0	0	0	0
NUDCD3	90.03	94.89	72.73	102.76	116.52	84.13	70.87	95.91	101.07	83.98
ISL1	1.07	0.63	1.38	2.04	2.83	2.61	1.48	1.21	9.46	6.98
CHDH	3.31	3.96	2.52	0.36	1.01	4.78	3.39	1.57	0.53	0.8
IL20RA	13.12	12.6	16.64	7.71	12.42	18.81	22.47	18.09	35.89	33.64
CLCA1	0	0	0	0	0	0.01	0	0	0.01	0
CLCA4	8.41	8.06	140.84	39.24	66.2	39.55	161.13	51.23	157.09	150.48
GLT8D1	45.44	49.31	40.88	40.98	43.03	65.65	58.63	51.51	78.37	78.89
ATP2C1	58.86	62.92	41.4	101.76	94.52	40.28	44.44	56.83	62.75	61.64
IGF1	0.06	0.06	0.04	0.06	0.31	0.52	0.4	0	0.42	0.2
SLC38A5	61.26	58.13	48.88	188.15	208.77	41.81	28.63	31.32	35.79	36.79
RALBP1	47.72	49.61	48.82	49.68	44.39	40.15	50.01	53.57	67.26	67.01
RUFY3	24.99	21.69	30.67	21.27	24.85	31.02	37.12	22.77	33.5	32.49
CNTN1	2.42	2.93	1.31	4.29	5.29	3.39	5.23	16.21	12.04	9.98
SLC11A1	0.2	0.07	0.27	0	0	0.57	0.27	0.14	0.23	0.6
WWTR1	55.79	49.25	55.06	52.87	59.26	44.03	40.22	72.44	44.75	41.66
AGPS	50.92	47.61	21.94	58.22	59.56	15.01	8.84	35.58	31.51	25.15
ZNF806	0	0	0	0	0	0	0	0	0	0
CXorf56	14.25	13.38	13.26	9.76	11.74	12.21	7.84	11.58	14.96	13.34
ATP1A2	0.1	0.09	0	0.04	0	0	0	0.2	0	0.01
TTC27	18.67	17.02	12.36	15.89	16.36	9.44	10.33	19.18	15.53	15.12
ZNF582	1.85	2.31	3.41	4.53	4.57	1.85	1.17	3.7	6.11	3.85
VSIG2	78.53	80.18	156.25	75.6	82.16	84.47	102.86	63.86	91.63	89.15
PHLDB1	11.01	13.53	14.54	15.18	14.52	11.84	12.38	20.63	9.82	10.01
MARCO	0	0.23	0.07	0.07	0.07	0.06	0.08	0.61	0.02	0.13
CYP24A1	3.12	2.51	13.65	12.65	17.82	1.46	1.15	0.53	3.79	4.1
PRDM11	1.79	1.46	1.18	2.4	2.09	2.83	2.18	1.88	6.72	7
SYT13	0	0	0	0	0	0	0	0	0.03	0
SNAI2	26.47	21.99	19.55	84.32	82.97	16.41	16.81	52.97	42.48	40.42
CD74	1093.31	1101.75	549.51	323.36	258.7	2210.27	1950.46	1174.35	797.65	780.56
HGF	2.09	1.52	19.41	0.81	0.53	4.59	5.3	20.07	4.92	5.26
ZRANB1	7.27	6.25	10.38	6.24	7.52	5.33	7.63	5.8	9.66	8.93
NCDN	38.95	35.05	32.95	42.03	45.46	27.67	23.04	47.95	32.67	37.97
ADGRA2	0.57	0.35	1.11	0.4	0.16	4.02	4.77	5.21	2.8	3.44
CCT8L1P	0	0	0	0	0	0	0	0	0	0
ZFP64	11.07	9.46	8.64	13.14	14.93	10.16	7.01	14.26	16.09	16.22
MNAT1	44.78	40.46	40.8	55.63	59.75	36.53	37.16	53.04	73.99	70.08
SAMD4A	16.01	11.27	10.39	7.45	11.28	4.41	4.22	8.96	1.86	1.97
RUNX3	1.82	0.5	0.87	2.3	1.81	1.88	1.34	0.73	1.18	1.25
MRE11	12.44	12.99	9.04	11.4	11.82	8.71	7.71	9.67	10.72	13.34
PLEKHB1	5.55	4.6	3.1	2.56	1.32	12.72	10.98	1.03	6.67	6.71
SERPINB1	310.25	289.32	332.83	393.53	453.71	109.78	129.48	726.61	380.65	341.15
CYP3A43	0	0	0.04	0	0	0	0.13	0	0	0
SLC7A9	0.21	0	0.12	0	0.08	0.09	0.37	0	0.09	0.05
SPAST	12.29	9.64	8.95	9.97	9.84	7.65	8.11	9.1	13.79	17.09
NRXN3	3.78	3.18	3.59	2.14	1.97	6.99	4.02	1.22	0.85	1.17
OSBPL5	6.28	4.67	16.67	13.82	20.81	18.2	14.97	29.19	30.9	37.37
AQR	13.88	14.98	12.09	15.05	16.08	13.15	14.92	16.35	22.66	19.25
CPS1	0.33	0.4	0.47	0.32	0.09	0.91	0.28	1.29	2.17	1.18
C8B	0	0	0	0	0	0	0	0.06	0	0
FHL1	4.07	4.19	8.48	2.2	1.91	12.05	11.56	43.55	8.27	12.23
RTF2	114.49	110.83	119.98	104.61	108.49	81.15	80.76	108.42	121.4	109.12
GABRA1	0	0	0	0	0	0	0	0	0	0
NLRP2	25.69	26.75	3.25	20.52	20.65	12.67	11.22	10.85	13.82	12.22
SLC45A4	4.21	4.13	12.94	5.33	5.2	3.39	3.98	3.17	8.47	5.17
RNF10	272.59	241.52	266.1	234.75	258.57	162.89	182.56	207.3	213.89	189.64
ZNF839	4.79	6.14	5.16	4.76	6.36	9.27	7.72	5.99	8.38	6.77
ZDHHC6	54.19	52.37	47.21	36.12	41.3	39.18	37.19	35.95	32.67	38.4
GRAMD1B	0.07	0.2	0.41	0.68	0.72	0.46	0.77	0.84	0.28	1.07
RNH1	311.75	291.41	232.71	317.82	327.24	252.49	252.48	323.18	291.18	291.59
NDUFS1	81.08	70.77	55.53	63.27	64.09	40.62	50.1	72.69	78.28	75.49
RB1CC1	23.22	26.22	43.02	28.13	31.02	33.67	30.75	16.64	41.58	38.63
ERP44	41.6	41.71	38.09	40.06	40.06	36.71	33.77	37.81	31.55	31.11
ALAS1	89.91	93.09	78.83	56.42	59.83	87.19	80.98	101.47	80.26	76.54
BIRC3	34.34	40.53	42.82	13.22	11.8	26.56	18.81	35.15	20.99	20.61
AKAP11	0.99	1.09	1.26	1.73	1.16	1.9	1.46	1.18	2.15	2.06
GLRX2	43.8	38.54	25.73	37.93	33.56	14.54	11.09	32.9	19.85	20.54
SNAPC1	9.69	7.24	10.93	7.15	8.23	13.8	11.54	10.65	13.17	13.33
DERA	87.17	94.91	82.93	89.47	102.79	70.9	71.24	73.73	84.8	84.42
STRAP	185.27	180.41	134.26	180.62	175.93	83.2	86.83	207.85	126.84	111
ABCC2	0.2	0.44	0.81	0.38	0.38	0.82	0.12	2.39	0.58	0.29
DEF6	7.38	10.24	18.1	14.8	19.89	21.69	18.46	16.53	35.66	41.36
PLEKHO1	5.73	3.71	15.7	10.24	8.03	7.22	8.05	18.73	5.51	6.88
GCLM	156.6	154.37	60.21	102.71	105.34	40.8	42.1	75.08	123.4	109.88
UBR2	7.89	8.49	10.79	8.41	10.51	9.87	8.99	6.3	11.97	10.94
EHD2	252.38	226.71	127.34	152.08	160.46	144.12	101.57	214.56	101.36	100.95
DEPDC1	6.09	9.63	4	6.31	5.55	1.57	1.49	9.66	5.11	5.12
CCDC28A	26.08	23.79	40.76	15.01	17.04	46.23	39.67	16.06	33.52	34.79
RRAGD	24.95	24.91	14.97	1.68	1.98	30.89	21.58	9.69	7.65	7.23
HSF2	12.47	11.22	10.34	7.83	9	11.18	11.1	13.39	18.99	21.06
PHF20	26.68	33.11	32.44	26.87	32.65	37.54	41.71	33.43	43.61	46.06
HSD17B6	54.46	51.57	6.03	1.83	1.17	59.34	46.39	3.13	0.57	1.14
NR1H3	17.66	16.97	15.02	3.59	4.74	30.08	27.53	22.69	14.88	13.57
TYMP	264.87	253.28	474.1	473.84	434.2	73.94	107.63	146.71	102.31	112.22
NCAPH2	34.29	36.1	34.73	25.24	25.89	25.94	24.64	22.72	27.03	23.85
TOMM34	76.61	77.71	54.6	82.15	76.84	32.44	30.44	64.1	55.41	45.56
SEC63	84.09	88.74	77.31	99.89	91.79	105.32	82	102.65	89.09	90.31
KPNA6	34.4	35.38	25.82	40.26	37.19	20.43	20.94	37.69	34.62	36.58
VIM	89.28	83.7	104.84	186.51	160.34	182.14	169.28	298.24	146.4	173.33
RTEL1-TNFRSF6B	2.76	2.12	3.11	2.3	3.07	2.35	2.08	2.37	1.85	2.11
FAS	99.77	88.67	61.69	39.41	46.39	40	31.06	53.04	52.13	44.94
RNASET2	29.67	32.29	26.5	35.5	30.21	49.61	38.96	46.59	71.73	65.76
CD44	182.8	179.62	149.56	359.13	398.2	184.74	179.16	382.35	263.86	249.91
KCNG1	4.65	4.06	6.44	7.41	4.93	3.18	1.86	4.24	3.63	3.83
AGPAT4	5.25	6.87	6.92	7.84	5.94	2.83	3.14	7.35	2.11	4.27
SLAMF7	61.86	52.71	12.48	5.17	3.29	4.05	3.43	23.58	0.67	0.56
BTN3A1	11.06	13.26	13.05	8.89	7.86	16.91	11.41	8.98	10.82	8.78
MIPEP	35.54	35.73	18.08	20.76	23.3	21.14	21.57	37	43.44	43.18
PRKCH	18	15.62	37.67	25.26	25.29	15.91	22.32	26.4	41.77	39.3
INSRR	0	0	0	0	0	0	0	0	0	0
IFNGR1	170.49	179.64	167.7	156.77	163.85	166.72	147.3	241	223.28	207.65
B4GALT7	23.92	23.66	20.14	22.79	23.36	19.16	21.58	26.82	26.36	22.78
SH2D2A	0.16	0.44	0.04	2.41	2.7	0.12	0.27	0.85	0.25	0.23
VRK2	55.15	54.85	29.7	49.74	57.26	25.93	31.99	50.63	44.01	47.94
TNFRSF1B	10.23	12.38	15.26	1.64	1.16	17.33	10.48	18.72	2.09	3.74
VEZT	80.5	74.18	42.78	67.73	64.38	44.44	41.17	48.35	40.88	39.38
POU2F2	0.29	0.05	2.18	1.43	1.35	1.19	0.84	1.5	0.52	0.44
BRD9	20.96	20.2	21.91	25.87	23.17	16.28	17.24	22.34	23.75	19.22
SNX1	182.44	165.32	115.03	139.39	143.82	88.71	97.96	141.95	151.98	149.97
TBPL1	28.38	25.47	22.16	32.87	30.44	19.86	20.44	23.12	37.94	31.13
ARNTL2	52.59	48.31	48.71	92.91	95.88	15.1	18.06	59.95	22.66	22.83
BCLAF1	63.04	65.8	80.03	73.76	76.37	61.64	61.13	80.71	95.54	88.68
SLC39A9	30.04	27.07	28.71	31.11	34.74	32.05	24.03	33.24	44.04	41.5
ANK1	0.46	0.77	1.76	2.8	4.8	0.55	1.33	1.78	3.36	3.56
IBSP	0	0	0	0	0	0	0	0.07	0	0
TFB1M	40.5	41.41	20.5	30.27	29.81	25.28	22.84	49.15	31.99	35.73
RABEP1	31.19	33.31	24.39	28.16	27.48	23.32	19.47	42.64	31.01	33.19
HMGB3	145.69	154.98	79.41	176.78	149.82	44.11	49.53	70.06	61.77	52.06
NUP160	34.77	36.16	31.24	27.36	30.89	35.3	26.79	24.53	33.72	28.1
BAK1	51.4	52.14	43.16	92.16	101	19.7	24.46	58.17	45.98	42.42
MUSK	0.07	0.01	0.06	0.03	0.02	0	0	0.03	0.04	0.04
IKZF2	1.41	2.65	8.1	3.37	3.85	2.99	3.05	1.2	9.41	7.7
GRN	386.05	369.64	480.33	321.38	349.6	422.12	394.75	522.58	535.81	512.77
FAM13B	8.16	8.64	10.6	11.74	11.15	10.23	8.45	7.62	13.78	10.14
ARHGAP31	3.79	4.34	1.78	1.27	2.11	4.01	5.77	2.68	1.76	2.6
CENPQ	5.25	5.61	5.58	4.9	5.18	4.34	5.76	4.75	5.55	6.67
SARS1	199.89	199.97	163.98	201.94	197.48	186.34	174.99	209.62	167.76	156.78
RANBP3	24.22	19.43	16.13	21.48	20.62	16	17.89	16.97	19.64	17.96
ARID4A	14.65	14.13	23.67	10.9	9.06	26.27	26.39	12.53	25.79	22.42
EIPR1	38.07	34.11	21.51	32.87	29.99	14.15	26.62	32.55	48.44	41.98
PNPLA6	27.39	22.6	24.44	32.74	33.64	13.03	20.97	19.9	19.39	23.98
IFT88	9.67	13.02	7.12	7.22	9.27	10.84	8.2	7.35	13.47	14.56
ALG1	74.81	71.53	45.24	43.42	42.44	34.7	31.36	58.67	38.25	34.82
ZCCHC8	8.75	8.13	10.98	10.95	10.44	13.95	12.44	7.78	14.67	14.7
CHPF2	48.1	42.24	48.68	48.95	51.75	38.16	35.18	65.5	37.3	41.03
LRRC7	0	0.05	0.59	0.03	0.15	0.59	0.52	0.61	0	0.71
FUT8	28.38	25.03	20.67	13.56	12.99	34	28.4	19.19	20.81	23.3
UBA6	19.49	22.94	32.94	41.74	47.01	14.72	18.78	28.59	26.55	32.4
GAB2	3.93	4.22	1.99	2.37	1.58	7.06	7.71	2.08	1.11	1.54
ATP6V0A1	31.32	33.63	25.8	29.37	39.85	37.71	36.69	49.18	33.42	35.35
PIAS1	34.17	36.94	46.42	35.39	32.82	35.74	39.28	37.18	46.79	42.2
SLC4A7	6.72	5.04	5.17	8.94	9.56	8.59	6.65	10.63	7.62	6.67
APBA2	1.34	1.23	5.48	0.26	0.45	4.63	4.08	12.87	2.92	4.1
MAP2K3	124.08	116.63	99.32	90.57	88.97	55.76	59.16	115.6	83.48	82.17
EFCAB1	5.17	8.17	1.46	6.61	7.56	19.85	10.77	0.16	80.34	71.8
TMSB10	3371	3331.78	2916.18	6225.75	5835.55	1970.66	2034.07	4586.2	2162.6	2222.69
ASTE1	6.65	6.7	8.14	4.93	5.5	9.06	7.81	5.17	9.93	11.37
RNF19A	36.16	33.78	55.18	36.92	39.12	44.9	36.89	23.62	36.85	44.73
PEX3	31.96	33.72	19.18	18.22	18.16	25.61	24.32	34.72	31	28.01
GABARAPL2	144.7	156.41	191.93	152.34	153.17	170.75	202.65	141.58	209.26	200.05
MYOC	0	0	0	0	0	0	0	0	0	0
SH3YL1	47.4	40.45	49.83	36.3	42.25	73.19	63.74	38.31	73.45	63.48
FAM136A	79.17	76.87	53.15	60.64	66.14	48.62	47.28	67.56	56.84	52.27
VCL	119.96	109.47	78.22	178.12	185.1	50.98	53.21	128.72	87.8	91.75
DEPDC1B	8.62	8.1	4.9	4.6	6.67	0.63	1.26	9.71	1.46	1.33
DAPK2	30.12	29.65	42.84	2.32	1.7	21.28	14.51	2.57	2.35	3.01
NSMAF	27.71	28.18	26.83	19.76	21.5	23.21	19.84	26.83	21.49	26.7
ADSS2	44.05	44.26	38.35	38.79	39.67	27.44	24.97	34.3	54.77	51.06
STAP1	0	0.04	0.11	0.04	0.04	0.1	0.1	0.03	0.16	0.17
TIMP2	1.75	2.1	4.38	3.68	3.01	2.1	4.77	6.87	3.57	4.99
RFC1	29.57	33.46	25.66	24.19	20.45	41.81	33.46	20.98	36.28	31.57
TBC1D23	38.11	34.54	36.34	35.25	37.58	30.18	25.02	28.69	34.04	28.21
CUL3	70.59	68.74	76.11	76.29	78.15	53.2	66.72	71.13	95.03	94.53
MYOM2	5.39	6.93	2.08	0.52	0.63	5.08	5.19	1.27	1.99	2.29
OTC	0	0	0	0	0	0	0	0	0	0
CYP46A1	0.07	0.21	0.25	0	0.08	0.63	0.56	0.09	0.21	0.06
AC118549.1	23.39	27.29	16.79	18.98	22.12	29.07	26.31	25.6	35.73	30.84
SLC18A1	0	0	0	0.02	0	0	0	0	0	0
USP2	0.85	0.54	0.37	1.59	1.62	0.51	0.94	0.52	3.03	2.39
CASR	0.01	0.02	0	0.01	0	0.31	0.07	0.99	0.1	0
TUBG2	15.84	17.06	25.71	12.1	14.9	32.88	24.57	16.35	33.85	32.73
RPL26L1	88.04	85.81	54.59	73.69	67.82	41.03	40.44	77.05	64.31	54.25
FLT4	3.44	2.26	1.28	0.16	0.15	4.97	4.03	0.38	0.29	0
NSUN2	70.28	69.83	70.88	88.78	86.61	46.02	42.59	93.26	62.86	63.28
FBXO42	18	16.53	20.2	15.96	16.55	22.42	20.98	22.48	26.14	27.62
MFAP3	17.46	18.03	14.97	22.96	28.97	12.04	10.61	17.21	20.66	17.48
MRI1	19.28	18.5	44.78	14.64	14.36	31.61	32.07	24.66	28.02	28.77
METTL1	26.42	23.47	17.27	20.02	18.48	14.38	14.6	24.94	14.69	12.64
HOXC8	0.04	0.03	0.04	0.56	0.27	0	0	0.09	1.11	1.13
